Vivado Simulator 2018.3
Time resolution is 1 ps
Block Memory Generator module astar_gnps_tb.u_astar_gnps.map_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.closelist_childy_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.closelist_childx_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_parenty_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_parentx_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_childy_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_childx_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_g2_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_h_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
Block Memory Generator module astar_gnps_tb.u_astar_gnps.openlist_f_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst is using a behavioral model for simulation which will not precisely model memory collision behavior.
blk_mem_gen_v8_4_2 collision detected at time: 41340000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_2 collision detected at time: 41340000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g2_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_2 collision detected at time: 41360000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g2_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 0, B read address: 0
blk_mem_gen_v8_4_2 collision detected at time: 42380000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 3, B read address: 3
blk_mem_gen_v8_4_2 collision detected at time: 43640000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 8, B read address: 8
blk_mem_gen_v8_4_2 collision detected at time: 45000000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: a, B read address: a
blk_mem_gen_v8_4_2 collision detected at time: 46460000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: c, B read address: c
blk_mem_gen_v8_4_2 collision detected at time: 48020000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: e, B read address: e
blk_mem_gen_v8_4_2 collision detected at time: 49680000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 10, B read address: 10
blk_mem_gen_v8_4_2 collision detected at time: 51480000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 13, B read address: 13
blk_mem_gen_v8_4_2 collision detected at time: 53500000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 18, B read address: 18
blk_mem_gen_v8_4_2 collision detected at time: 55740000, Instance: astar_gnps_tb.u_astar_gnps.openlist_g1_i.inst.native_mem_module.blk_mem_gen_v8_4_2_inst, A write address: 1d, B read address: 1d
